#,Date,Time,Dir,Entry,Exit,SL,TP,Vol,Risk$,PnL,Result,Balance
110,2026-01-12,12:30,SELL,4584.47,4594.36,4594.36,4500.01,0.01,10.71,-9.89,LOSS,2132.12
111,2026-01-12,13:00,SELL,4584.78,4594.36,4594.36,4500.01,0.01,10.66,-9.58,LOSS,2122.54
112,2026-01-12,14:12,SELL,4609.09,4623.82,4623.82,4578.69,0.01,10.61,-14.73,LOSS,2107.81
113,2026-01-12,15:05,SELL,4606.78,4616.59,4616.59,4578.69,0.01,10.54,-9.81,LOSS,2098.00
114,2026-01-12,15:35,SELL,4615.64,4624.46,4624.46,4585.37,0.01,10.49,-8.82,LOSS,2089.18
115,2026-01-12,16:05,SELL,4622.41,4624.46,4624.46,4585.37,0.03,10.45,-6.16,LOSS,2083.02
116,2026-01-12,16:35,SELL,4624.10,4585.37,4624.46,4585.37,0.16,10.42,+619.68,WIN,2702.70
117,2026-01-13,00:00,SELL,4588.76,4601.61,4601.61,4550.22,0.03,13.51,-38.54,LOSS,2664.16
118,2026-01-14,09:32,SELL,4634.14,4635.12,4635.12,4622.49,0.35,13.32,-34.33,LOSS,2629.83
119,2026-01-14,10:02,SELL,4635.14,4635.16,4635.16,4622.49,10,13.15,-19.00,LOSS,2610.83
120,2026-01-14,10:34,SELL,4630.97,4636.54,4636.54,4622.49,0.06,13.05,-33.40,LOSS,2577.43
121,2026-01-14,11:04,SELL,4636.95,4627.19,4639.98,4627.19,0.1,12.89,+97.60,WIN,2675.03
122,2026-01-14,11:39,SELL,4635.76,4627.19,4639.98,4627.19,0.07,13.38,+59.99,WIN,2735.02
123,2026-01-14,12:21,SELL,4626.80,4634.27,4634.27,4604.40,0.05,13.68,-37.33,LOSS,2697.69
124,2026-01-14,12:51,SELL,4638.09,4627.19,4641.91,4627.19,0.1,13.49,+109.00,WIN,2806.69
125,2026-01-14,13:26,SELL,4636.13,4626.36,4639.06,4626.36,0.12,14.03,+117.24,WIN,2923.93
126,2026-01-14,16:46,SELL,4621.93,4610.18,4627.26,4610.18,0.09,14.62,+105.75,WIN,3029.68
127,2026-03-12,16:00,SELL,5124.89,5089.43,5139.37,5089.43,0.01,15.15,+35.46,WIN,3065.14
128,2026-03-12,16:00,SELL,5124.89,5089.43,5139.37,5089.43,0.01,15.33,+35.46,WIN,3100.60
129,2026-03-12,16:30,SELL,5133.12,5118.62,5139.37,5118.62,0.01,15.50,+14.50,WIN,3115.10
130,2026-03-12,16:30,SELL,5133.12,5118.62,5139.37,5118.62,0.01,15.58,+14.50,WIN,3129.60
131,2026-03-13,01:01,SELL,5109.17,5055.61,5141.66,5055.61,0.01,15.65,+53.56,WIN,3183.16
132,2026-03-13,01:01,SELL,5109.17,5055.61,5141.66,5055.61,0.01,15.92,+53.56,WIN,3236.72
133,2026-03-13,01:31,SELL,5118.34,5055.61,5141.66,5055.61,0.01,16.18,+62.73,WIN,3299.45
134,2026-03-13,01:31,SELL,5118.34,5055.61,5141.66,5055.61,0.01,16.50,+62.73,WIN,3362.18
135,2026-03-13,02:01,SELL,5119.81,5055.61,5141.66,5055.61,0.01,16.81,+64.20,WIN,3426.38
136,2026-03-13,02:01,SELL,5119.81,5055.61,5141.66,5055.61,0.01,17.13,+64.20,WIN,3490.58
137,2026-03-16,07:00,SELL,5027.36,5003.35,5033.17,5003.35,0.03,17.45,+72.03,WIN,3562.61
138,2026-03-16,07:00,SELL,5027.36,5003.35,5033.17,5003.35,0.03,17.81,+72.03,WIN,3634.64
139,2026-03-16,07:31,SELL,5012.14,5003.35,5017.42,5003.35,0.04,18.17,+35.16,WIN,3669.80
140,2026-03-16,07:31,SELL,5012.14,5003.35,5017.42,5003.35,0.04,18.35,+35.16,WIN,3704.96
141,2026-03-16,11:43,SELL,5020.94,5032.48,5032.48,4970.23,0.02,18.52,-23.09,LOSS,3681.87
142,2026-03-16,11:43,SELL,5020.94,5032.48,5032.48,4970.23,0.02,18.41,-23.09,LOSS,3658.78
143,2026-03-16,12:13,SELL,5014.21,5032.48,5032.48,4970.23,0.01,18.29,-18.27,LOSS,3640.51
144,2026-03-16,12:13,SELL,5014.21,5032.48,5032.48,4970.23,0.01,18.20,-18.27,LOSS,3622.24
145,2026-03-16,12:50,SELL,5016.06,5021.55,5021.55,4970.23,0.04,18.11,-21.96,LOSS,3600.28
146,2026-03-16,12:50,SELL,5016.06,5021.55,5021.55,4970.23,0.04,18.00,-21.96,LOSS,3578.32
147,2026-03-16,14:29,SELL,5029.87,4970.23,5038.19,4970.23,0.02,17.89,+119.28,WIN,3697.60
148,2026-03-16,14:29,SELL,5029.87,4970.23,5038.19,4970.23,0.02,18.49,+119.28,WIN,3816.88
149,2026-03-16,14:59,SELL,5009.89,4970.23,5034.67,4970.23,0.01,19.08,+39.66,WIN,3856.54
150,2026-03-16,14:59,SELL,5009.89,4970.23,5034.67,4970.23,0.01,19.28,+39.66,WIN,3896.20
151,2026-03-19,13:45,SELL,4572.07,4570.90,4572.46,4570.90,0.68,19.48,+79.56,WIN,3975.76
152,2026-03-19,13:45,SELL,4572.07,4570.90,4572.46,4570.90,0.68,19.88,+79.56,WIN,4055.32
153,2026-03-19,14:15,SELL,4555.02,4645.38,4645.38,4283.95,0.01,20.28,-90.36,LOSS,3964.96
154,2026-03-19,14:15,SELL,4555.02,4645.38,4645.38,4283.95,0.01,19.82,-90.36,LOSS,3874.60
155,2026-03-20,00:00,SELL,4644.67,4649.70,4649.70,4632.45,0.05,19.37,-25.17,LOSS,3849.43
156,2026-03-20,00:00,SELL,4644.67,4649.70,4649.70,4632.45,0.05,19.25,-25.17,LOSS,3824.26
157,2026-03-20,00:30,SELL,4650.06,4650.41,4650.41,4632.45,0.69,19.12,-24.50,LOSS,3799.76
158,2026-03-20,00:30,SELL,4650.06,4650.41,4650.41,4632.45,0.69,19.00,-24.50,LOSS,3775.26
